Code,Name,Price,Retail Price,Stock Level,Product UPC/EAN,Sold out?,Clearance?
12053,Single Leaf Wood Decorative Vase,12.61,24.95,679,8.49179E+11,FALSE,FALSE
10015279,Western Cowboy Boot Planter,17.18,24.95,0,8.49179E+11,FALSE,FALSE
10015302,Dimpled Ivory Ceramic Planter Trio,35.78,59.95,108,8.49179E+11,FALSE,FALSE
12047,Tribal Style Wood Bowl with Three Carved Balls,14.53,19.95,537,8.49179E+11,FALSE,FALSE
12055,Tree Style Tealight Candle Holder with Crystals,10.8,19.95,1410,8.49179E+11,FALSE,FALSE
12109,Fairy with Unicorn Figurine,23.14,39.95,323,8.49179E+11,FALSE,FALSE
12117,Red and Gold Sunfire Glass Vase,24.41,39.95,0,8.49179E+11,FALSE,FALSE
12260,Unicorn Glass-Top Accent Table,85.61,129.95,94,8.49179E+11,FALSE,FALSE
12287,Glass Star Hanging Candle Lantern,9.21,12.95,0,8.49179E+11,FALSE,FALSE
12288,Red Glass Star Hanging Candle Lantern,7.89,12.95,1173,8.49179E+11,FALSE,FALSE
12295,Rustic Forest Iron Fireplace Screen,64.13,99.95,165,8.49179E+11,FALSE,FALSE
12302,Eternal Steps Fountain,28.82,49.95,83,8.49179E+11,FALSE,FALSE
12357,Complete Barbecue Tools Gift Set,24.97,39.95,0,8.49179E+11,FALSE,FALSE
12392,CloudWorks Halloween Pirate Figurine with Dog,5.19,19.95,9,8.37101E+11,TRUE,FALSE
12480,Glass and Metal Heart Flowers Candleholder,9.21,14.95,1072,8.49179E+11,FALSE,FALSE
12492,Spiral Metal Oil Warmer,3.43,6.95,1094,8.49179E+11,FALSE,FALSE
12503,Wood Vintage Trailer Bird House,13.2,19.95,151,8.49179E+11,FALSE,FALSE
12504,Paradise Valley Winery Wood Bird House,13.2,19.95,79,8.49179E+11,FALSE,FALSE
12505,Gone Golfing Wood Bird House,8.95,14.95,#N/A,8.49179E+11,TRUE,FALSE
12516,Metal Baker's Rack Shelf Unit,85.61,129.95,300,8.49179E+11,FALSE,FALSE
12517,Metal Corner Baker's Rack Shelf Unit,65.04,99.95,338,8.49179E+11,FALSE,FALSE
12526,Iron Solar-Powered Carriage Lantern,19.98,29.95,448,8.49179E+11,FALSE,FALSE
12533,Spun Glass Rose Bud in Vase,8.29,12.95,361,8.49179E+11,FALSE,FALSE
12553,Country Rooster Paper Towel Holder,11.87,19.95,0,8.49179E+11,FALSE,FALSE
12565,Healing Spa Bath Basket Gift Set,28.82,39.95,16,8.49179E+11,FALSE,FALSE
12569,Texas Lone Star Fireplace Screen,64.13,99.95,187,8.49179E+11,FALSE,FALSE
12575,Moroccan Iron Candle Lantern with Stand,33.88,59.95,23,8.49179E+11,FALSE,FALSE
12586,Garden Cottage Bird House,10.54,14.95,23,8.49179E+11,FALSE,FALSE
12604,Bird Cafe Rustic Wood Birdhouse,8.95,14.95,#N/A,8.49179E+11,TRUE,FALSE
12606,Bed and Breakfast Wood Birdhouse,6.56,9.95,427,8.49179E+11,FALSE,FALSE
12608,Spooky Skeleton Toilet Paper Holder,13.2,19.95,0,8.49179E+11,FALSE,FALSE
12611,Elephant Head Wall Decor,57.26,79.95,158,8.49179E+11,FALSE,FALSE
12612,Skeleton with Lighted Lantern,27.49,39.95,0,8.49179E+11,FALSE,FALSE
12615,Tipsy Elephant Wine Bottle Holder,16.26,24.95,475,8.49179E+11,FALSE,FALSE
12643,Meditative Monk Trinket Box,7.95,11.99,1030,8.49179E+11,FALSE,FALSE
12652,Glass I Love You Desktop Cube,5.5,7.95,26,8.49179E+11,FALSE,FALSE
12657,Rooster Iron Overhead Kitchen Rack,57.26,89.95,455,8.49179E+11,FALSE,FALSE
12674,Art Glass Foldable Handbag Hook,4.12,5.95,53,8.17515E+11,FALSE,FALSE
12683,Glass Plant Watering Globes,8.63,11.95,977,8.49179E+11,FALSE,FALSE
12690,Wagon Wheel Themed Garden Bench,140.26,199.95,144,8.49179E+11,FALSE,FALSE
12691,Wagon Wheel Themed Planter with Buckets,70.52,99.95,87,8.49179E+11,FALSE,FALSE
12694,Medieval Dragon Stein,13.2,17.95,9,8.49179E+11,FALSE,FALSE
12698,Renaissance Style Wall Crucifix,27.49,39.95,149,8.49179E+11,FALSE,FALSE
12773,Porcelain Outstretched Hands Oil Warmer,3.32,5.95,147,8.49179E+11,FALSE,FALSE
12774,Moss Green Porcelain Tear Drop Oil Warmer,3.32,5.95,201,8.49179E+11,FALSE,FALSE
12785,Squirrel's Tail Bird Feeder,6.9,9.95,609,8.49179E+11,FALSE,FALSE
12788,Clever Squirrel Tree Decoration,11.87,19.95,0,8.49179E+11,FALSE,FALSE
12793,Calla Lily Candleholder with Amber Glass,35.46,59.95,672,8.49179E+11,FALSE,FALSE
12794,Silver Calla Lily Candle Holder,40.84,69.95,565,8.49179E+11,FALSE,FALSE
12841,Stone-Look Water Fountain - Solar or Cord Power,168.12,249.95,73,8.49179E+11,FALSE,FALSE
12842,Fairies Water Fountain - Solar or Cord Power,215.74,299.95,21,8.49179E+11,FALSE,FALSE
12844,Modern Temple Fountain - Solar or Cord Power,168.12,249.95,45,8.49179E+11,FALSE,FALSE
12859,Stone-Look Hand of Buddha Tabletop Fountain,32.55,49.95,0,8.49179E+11,FALSE,FALSE
12930,Skull Pattern Luggage Set,127.31,199.95,152,8.49179E+11,FALSE,FALSE
12967,Solar-Lighted Birdbath and Planter,33.81,59.95,164,8.49179E+11,FALSE,FALSE
12981,Swirled Art Glass Vase,64.13,99.95,208,8.49179E+11,FALSE,FALSE
12982,Handcrafted Art Glass Vase,51.51,79.95,146,8.49179E+11,FALSE,FALSE
13000,Recycled Cotton Canvas Hammock,42.72,69.95,270,8.49179E+11,FALSE,FALSE
13029,Customizable Photo Wall Clock,9.74,14.95,319,8.49179E+11,FALSE,FALSE
13046,Small Wood-Look Lucky Elephant,11.87,16.95,9,8.49179E+11,FALSE,FALSE
13047,Large Wood-Look Lucky Elephant,25.51,34.95,419,8.49179E+11,FALSE,FALSE
13048,Smooching Giraffes Set,24.65,34.95,1573,8.49179E+11,FALSE,FALSE
13053,Zen Garden with Candle Holder,7.31,12.95,0,8.49179E+11,FALSE,FALSE
13055,Majestic Lion Outdoor Fountain,70.52,109.95,169,8.49179E+11,FALSE,FALSE
13056,Cowboy Themed Garden Fountain,85.61,129.95,625,8.49179E+11,FALSE,FALSE
13057,Playful Children at the Well Fountain,141.21,219.95,149,8.49179E+11,FALSE,FALSE
13067,Three-in-One Shaving & Grooming Set,13.87,19.95,35,8.49179E+11,FALSE,FALSE
13121,Multi-Function Pen with Built-In Tools,1.46,1.99,3291,8.49179E+11,FALSE,FALSE
D1082,Clear Glass Moroccan Candle Lantern - 12.5 inches,10.54,16.95,291,8.49179E+11,FALSE,FALSE
13176,Iron Candle Lantern Tower - 13 inches,9.21,14.95,0,8.49179E+11,FALSE,FALSE
13178,Black Matte Hummingbird Windchimes,5.57,7.99,0,8.49179E+11,FALSE,FALSE
13185,Iron Tricycle Plant Stand,26.24,39.95,0,8.49179E+11,FALSE,FALSE
13199,Fairy Riding Dragon with Color-Changing Crystals,8.29,12.95,495,8.49179E+11,FALSE,FALSE
13202,Moroccan-Style Candle Tower - 22 inches,13.2,24.95,668,8.49179E+11,FALSE,FALSE
13224,Solar-Powered Frog Garden Lights,22.44,29.95,852,8.49179E+11,FALSE,FALSE
13226,Cottage Romance Coffee Table,99.51,159.95,246,8.49179E+11,FALSE,FALSE
13240,Dragon Skull Trinket Box,9.54,12.95,0,8.49179E+11,FALSE,FALSE
13244,Emerald Glass Moroccan Candle Lantern - 10 inches,7.31,10.95,0,8.49179E+11,FALSE,FALSE
13245,Ruby Glass Moroccan Candle Lantern - 10 inches,7.31,10.95,785,8.49179E+11,FALSE,FALSE
13246,Iron Cutout Candle Lantern - 11.5 inches,6.9,10.95,918,8.49179E+11,FALSE,FALSE
13249,Shower Gels & Bath Fizzers in Fruit Scents,7.89,14.95,0,8.49179E+11,FALSE,FALSE
13342,10.5-inch Elvis Figurine,13,39.95,0,7.20583E+11,TRUE,FALSE
13347,Iron Classic Candle Lantern - 17.5 inches,28.82,39.95,1302,8.49179E+11,FALSE,FALSE
13349,Animal Print Luggage Set,177.85,249.95,98,8.49179E+11,FALSE,FALSE
13356,Ornate White Cutout Candle Lantern - 25 inches,28.82,49.95,471,8.49179E+11,FALSE,FALSE
13357,Ornate Black Cutout Candle Lantern - 25 inches,27.49,49.95,177,8.49179E+11,FALSE,FALSE
13359,Ornate Black Cutout Candle Lantern - 19 inches,18.5,29.95,69,8.49179E+11,FALSE,FALSE
13360,Victorian Style White Candle Lantern - 8 inches,7.89,9.95,1547,8.49179E+11,FALSE,FALSE
13361,Victorian Style Black Candle Lantern - 8 inches,7.31,10.95,4182,8.49179E+11,FALSE,FALSE
13362,Victorian Style White Candle Lantern - 10.5 inches,10.54,14.95,1223,8.49179E+11,FALSE,FALSE
13363,Victorian Style Black Candle Lantern - 16 inches,22.44,39.95,1770,8.49179E+11,FALSE,FALSE
13364,Lacy Cutout White Candle Lantern - 12 inches,11.87,16.95,5,8.49179E+11,FALSE,FALSE
13365,Lacy Cutout Black Candle Lantern - 12 inches,11.87,19.95,879,8.49179E+11,FALSE,FALSE
13366,Lacy Cutout Copper-Tone Candle Lantern - 9.5 inches,10.54,14.95,0,8.49179E+11,FALSE,FALSE
13367,Green Ceramic Diamond Pattern Planter Set,38.87,69.95,564,8.49179E+11,FALSE,FALSE
13368,Blue Ceramic Diamond Pattern Planter Set,38.87,69.95,0,8.49179E+11,FALSE,FALSE
13374,Earth Tone Candle Holder with Partridge,7.31,10.95,0,8.49179E+11,FALSE,FALSE
13401,Blue Glass Pedestal Candle Lantern - 16.5 inches,14.55,19.95,615,8.49179E+11,FALSE,FALSE
13685,Flower Power Rings with Display (24),41.63,238.8,0,0,TRUE,FALSE
